Support Set Size,Spearman,Kendall
4,0.9758361980436087,0.920167020047215
6,0.9890952408655185,0.9637148827888156
8,0.9913759487388935,0.9721098612577044
10,0.9930018828377435,0.975310653034533
12,0.9953158158721797,0.9826008730479638
14,0.9978093318090405,0.9881944348743581
16,0.9952025035657089,0.9816712487231427
18,0.9981022724414673,0.9904068095548488
20,0.9975959635273833,0.9870093671388305
22,0.9989139046572704,0.9937861159517809
24,0.999216558889543,0.9946303596822442
26,0.9987275349629534,0.994146148573856
28,0.9993776057974572,0.9943118427331444
30,0.9990561614558996,0.9946950616473564
32,0.9987103757590085,0.9929348214131187
34,0.9996391198058517,0.9968127974435548
36,0.9980646538955887,0.988843282184608
38,0.9987148953282717,0.9925326306977045
40,0.9993366441108462,0.9957213578461409
42,0.9985321209987378,0.9940358928293046
44,0.9995732627135901,0.9971243747766664
46,0.9996184816116856,0.9972333289067352
48,0.9998339104969468,0.9982403059315583
50,0.9995782102509408,0.9967033697802269
